,Temperature F,Number of Rides,Weather Description,index1,weekday
2014-07-25 04:00:00,70.91338884079993,15,light rain,2014-07-25 04:00:00,Friday
2014-07-25 07:00:00,67.17200000000004,42,broken clouds,2014-07-25 07:00:00,Friday
2014-07-25 08:00:00,65.75,80,broken clouds,2014-07-25 08:00:00,Friday
2014-07-25 09:00:00,65.39000000000001,55,broken clouds,2014-07-25 09:00:00,Friday
2014-07-25 12:00:00,67.74800000000002,35,scattered clouds,2014-07-25 12:00:00,Friday
2014-07-25 16:00:00,78.63800000000005,44,scattered clouds,2014-07-25 16:00:00,Friday
2014-07-25 17:00:00,79.934,45,scattered clouds,2014-07-25 17:00:00,Friday
2014-07-25 18:00:00,81.21199999999996,44,scattered clouds,2014-07-25 18:00:00,Friday
2014-07-26 01:00:00,73.30999999999997,73,scattered clouds,2014-07-26 01:00:00,Saturday
2014-07-26 02:00:00,72.46400000000003,49,scattered clouds,2014-07-26 02:00:00,Saturday
2014-07-26 03:00:00,71.33000000000004,44,scattered clouds,2014-07-26 03:00:00,Saturday
2014-07-26 04:00:00,70.28599999999997,49,scattered clouds,2014-07-26 04:00:00,Saturday
2014-07-26 07:00:00,67.96400000000003,30,broken clouds,2014-07-26 07:00:00,Saturday
2014-07-26 08:00:00,67.29800000000003,33,broken clouds,2014-07-26 08:00:00,Saturday
2014-07-26 09:00:00,66.326,46,broken clouds,2014-07-26 09:00:00,Saturday
2014-07-26 12:00:00,69.08000000000004,45,sky is clear,2014-07-26 12:00:00,Saturday
2014-07-26 16:00:00,75.03800000000004,44,light rain,2014-07-26 16:00:00,Saturday
2014-07-26 17:00:00,77.86400000000003,58,broken clouds,2014-07-26 17:00:00,Saturday
2014-07-26 18:00:00,79.55600000000003,50,broken clouds,2014-07-26 18:00:00,Saturday
2014-07-27 01:00:00,74.56999999999996,74,scattered clouds,2014-07-27 01:00:00,Sunday
2014-07-27 02:00:00,73.59800000000003,58,broken clouds,2014-07-27 02:00:00,Sunday
2014-07-27 03:00:00,72.89600000000004,54,broken clouds,2014-07-27 03:00:00,Sunday
2014-07-27 04:00:00,72.35600000000002,48,mist,2014-07-27 04:00:00,Sunday
2014-07-27 07:00:00,70.53800000000004,28,broken clouds,2014-07-27 07:00:00,Sunday
